"date","cases.JHU","deaths.JHU","cases.ECDC","deaths.ECDC"
2019-12-31,0,0,0,0
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,1,0,1,0
2020-01-27,1,0,0,0
2020-01-28,2,0,1,0
2020-01-29,2,0,1,0
2020-01-30,2,0,0,0
2020-01-31,4,0,0,0
2020-02-01,4,0,1,0
2020-02-02,4,0,0,0
2020-02-03,4,0,0,0
2020-02-04,4,0,0,0
2020-02-05,5,0,1,0
2020-02-06,5,0,0,0
2020-02-07,7,0,2,0
2020-02-08,7,0,0,0
2020-02-09,7,0,0,0
2020-02-10,7,0,0,0
2020-02-11,7,0,0,0
2020-02-12,7,0,0,0
2020-02-13,7,0,0,0
2020-02-14,7,0,0,0
2020-02-15,7,0,1,0
2020-02-16,7,0,0,0
2020-02-17,8,0,0,0
2020-02-18,8,0,0,0
2020-02-19,8,0,0,0
2020-02-20,8,0,0,0
2020-02-21,9,0,1,0
2020-02-22,9,0,0,0
2020-02-23,9,0,0,0
2020-02-24,10,0,0,0
2020-02-25,11,0,2,0
2020-02-26,11,0,0,0
2020-02-27,13,0,1,0
2020-02-28,14,0,2,0
2020-02-29,20,0,2,0
2020-03-01,24,0,4,0
2020-03-02,27,0,4,0
2020-03-03,30,0,3,0
2020-03-04,33,0,3,0
2020-03-05,37,0,3,0
2020-03-06,49,0,12,0
2020-03-07,54,0,6,0
2020-03-08,64,0,6,0
2020-03-09,77,1,5,0
2020-03-10,79,1,15,1
2020-03-11,108,1,16,0
2020-03-12,117,1,10,0
2020-03-13,191,1,35,0
2020-03-14,196,1,38,0
2020-03-15,250,1,68,0
2020-03-16,413,4,60,0
2020-03-17,470,5,120,3
2020-03-18,648,8,145,4
2020-03-19,791,9,121,1
2020-03-20,933,12,156,1
2020-03-21,1267,19,125,2
2020-03-22,1456,20,331,6
2020-03-23,2075,24,128,2
2020-03-24,2777,25,216,4
2020-03-25,3238,29,313,3
2020-03-26,4029,37,1426,8
2020-03-27,4669,53,633,4
2020-03-28,5563,60,657,14
2020-03-29,6267,63,711,7
2020-03-30,7385,79,869,1
2020-03-31,8514,100,1169,28
2020-04-01,9547,108,1112,7
2020-04-02,11271,138,1059,13
2020-04-03,12424,178,1673,29
2020-04-04,12965,217,1251,49
2020-04-05,15743,258,1363,44
2020-04-06,16550,338,1614,49
2020-04-07,17859,374,1157,43
2020-04-08,19128,406,1230,57
2020-04-09,20641,502,1391,55
2020-04-10,22046,556,1474,74
2020-04-11,0,0,1385,60
