"jurisdiction","date","cases.JHU","deaths.JHU","numconf","numprob","numdeaths","numtotal"
"Alberta",2019-12-31,0,0,0,0,0,0
"Alberta",2020-01-01,0,0,0,0,0,0
"Alberta",2020-01-02,0,0,0,0,0,0
"Alberta",2020-01-03,0,0,0,0,0,0
"Alberta",2020-01-04,0,0,0,0,0,0
"Alberta",2020-01-05,0,0,0,0,0,0
"Alberta",2020-01-06,0,0,0,0,0,0
"Alberta",2020-01-07,0,0,0,0,0,0
"Alberta",2020-01-08,0,0,0,0,0,0
"Alberta",2020-01-09,0,0,0,0,0,0
"Alberta",2020-01-10,0,0,0,0,0,0
"Alberta",2020-01-11,0,0,0,0,0,0
"Alberta",2020-01-12,0,0,0,0,0,0
"Alberta",2020-01-13,0,0,0,0,0,0
"Alberta",2020-01-14,0,0,0,0,0,0
"Alberta",2020-01-15,0,0,0,0,0,0
"Alberta",2020-01-16,0,0,0,0,0,0
"Alberta",2020-01-17,0,0,0,0,0,0
"Alberta",2020-01-18,0,0,0,0,0,0
"Alberta",2020-01-19,0,0,0,0,0,0
"Alberta",2020-01-20,0,0,0,0,0,0
"Alberta",2020-01-21,0,0,0,0,0,0
"Alberta",2020-01-22,0,0,0,0,0,0
"Alberta",2020-01-23,0,0,0,0,0,0
"Alberta",2020-01-24,0,0,0,0,0,0
"Alberta",2020-01-25,0,0,0,0,0,0
"Alberta",2020-01-26,0,0,0,0,0,0
"Alberta",2020-01-27,0,0,0,0,0,0
"Alberta",2020-01-28,0,0,0,0,0,0
"Alberta",2020-01-29,0,0,0,0,0,0
"Alberta",2020-01-30,0,0,0,0,0,0
"Alberta",2020-01-31,0,0,0,0,0,0
"Alberta",2020-02-01,0,0,0,0,0,0
"Alberta",2020-02-02,0,0,0,0,0,0
"Alberta",2020-02-03,0,0,0,0,0,0
"Alberta",2020-02-04,0,0,0,0,0,0
"Alberta",2020-02-05,0,0,0,0,0,0
"Alberta",2020-02-06,0,0,0,0,0,0
"Alberta",2020-02-07,0,0,0,0,0,0
"Alberta",2020-02-08,0,0,0,0,0,0
"Alberta",2020-02-09,0,0,0,0,0,0
"Alberta",2020-02-10,0,0,0,0,0,0
"Alberta",2020-02-11,0,0,0,0,0,0
"Alberta",2020-02-12,0,0,0,0,0,0
"Alberta",2020-02-13,0,0,0,0,0,0
"Alberta",2020-02-14,0,0,0,0,0,0
"Alberta",2020-02-15,0,0,0,0,0,0
"Alberta",2020-02-16,0,0,0,0,0,0
"Alberta",2020-02-17,0,0,0,0,0,0
"Alberta",2020-02-18,0,0,0,0,0,0
"Alberta",2020-02-19,0,0,0,0,0,0
"Alberta",2020-02-20,0,0,0,0,0,0
"Alberta",2020-02-21,0,0,0,0,0,0
"Alberta",2020-02-22,0,0,0,0,0,0
"Alberta",2020-02-23,0,0,0,0,0,0
"Alberta",2020-02-24,0,0,0,0,0,0
"Alberta",2020-02-25,0,0,0,0,0,0
"Alberta",2020-02-26,0,0,0,0,0,0
"Alberta",2020-02-27,0,0,0,0,0,0
"Alberta",2020-02-28,0,0,0,0,0,0
"Alberta",2020-02-29,0,0,0,0,0,0
"Alberta",2020-03-01,0,0,0,0,0,0
"Alberta",2020-03-02,0,0,0,0,0,0
"Alberta",2020-03-03,0,0,0,0,0,0
"Alberta",2020-03-04,0,0,0,0,0,0
"Alberta",2020-03-05,0,0,0,0,0,0
"Alberta",2020-03-06,1,0,0,0,0,0
"Alberta",2020-03-07,2,0,0,0,0,0
"Alberta",2020-03-08,4,0,1,0,0,1
"Alberta",2020-03-09,7,0,7,0,0,7
"Alberta",2020-03-10,7,0,7,0,0,7
"Alberta",2020-03-11,19,0,14,0,0,14
"Alberta",2020-03-12,19,0,19,0,0,19
"Alberta",2020-03-13,29,0,23,0,0,23
"Alberta",2020-03-14,29,0,29,0,0,29
"Alberta",2020-03-15,39,0,39,0,0,39
"Alberta",2020-03-16,56,0,56,0,0,56
"Alberta",2020-03-17,74,0,74,0,0,74
"Alberta",2020-03-18,97,0,97,0,0,97
"Alberta",2020-03-19,119,0,146,0,0,146
"Alberta",2020-03-20,146,1,195,0,1,195
"Alberta",2020-03-21,195,1,226,0,1,226
"Alberta",2020-03-22,259,1,259,0,1,259
"Alberta",2020-03-23,301,1,301,0,1,301
"Alberta",2020-03-24,359,1,358,0,2,358
"Alberta",2020-03-25,358,2,419,0,2,419
"Alberta",2020-03-26,486,2,486,0,2,486
"Alberta",2020-03-27,542,2,542,0,2,542
"Alberta",2020-03-28,542,2,542,0,2,542
"Alberta",2020-03-29,621,2,621,0,2,621
"Alberta",2020-03-30,661,3,690,0,8,690
"Alberta",2020-03-31,690,8,754,0,9,754
"Alberta",2020-04-01,754,9,754,0,9,754
